id,name,created_at,updated_at
1,"ヴィーガン","2023-05-28 15:39:52.541271","2023-05-28 15:39:52.541271"
2,"ベジタリアン","2023-05-28 16:12:00.457699","2023-05-28 16:12:00.457699"
3,"ペスカタリアン","2023-05-28 16:15:01.066313","2023-05-28 16:15:01.066313"
4,"ラクト・ベジタリアン","2023-06-03 23:55:50.060598","2023-06-03 23:55:50.060598"
5,"オボ・ベジタリアン","2023-06-03 23:56:06.048266","2023-06-03 23:56:06.048266"
6,"ポーヨ・ベジタリアン","2023-06-03 23:56:40.838556","2023-06-03 23:56:40.838556"
7,"フレキシタリアン","2023-06-03 23:57:13.893344","2023-06-03 23:57:13.893344"
8,"オリエンタル・ベジタリアン","2023-06-03 23:58:12.470297","2023-06-03 23:58:12.470297"
9,"フルータリアン","2023-06-03 23:58:24.480201","2023-06-03 23:58:24.480201"
